transform,dtype,beta,rapidity,angle,num_samples,relative_l2_mean,relative_l2_p10,relative_l2_p90,relative_l2_max,max_absolute_mean,max_absolute_max
boost,float64,0.29700000000000004,0.3062261462528895,,48,9.046230482968899e-13,8.356677857841294e-14,2.403150932809384e-12,6.181137534946413e-12,4.822930249614998e-12,2.7640112421067897e-11
boost,float64,0.32175000000000004,0.33359797178825923,,48,8.2578439832703e-13,1.0234622827778583e-13,2.076492959605748e-12,5.311061308878397e-12,6.3112070546507875e-12,6.431832844100427e-11
boost,float64,0.34650000000000003,0.3614606895936885,,48,1.0798668481451898e-12,8.749399314877694e-14,1.94993813997389e-12,7.534051181821586e-12,7.359285056351972e-12,6.112710337902172e-11
boost,float64,0.37125,0.3898721450877456,,48,9.013504463858216e-13,8.248034337846029e-14,2.4698612508628092e-12,5.742727271431382e-12,7.166692297481496e-12,9.272582701669307e-11
boost,float64,0.396,0.4188960426937514,,48,8.21125976414644e-13,1.2420414206905854e-13,1.9045995549882387e-12,8.126682132476262e-12,6.767910017135836e-12,6.643574579356937e-11
boost,float64,0.42075,0.4486030084323726,,48,1.0632523833505178e-12,8.34958188104439e-14,3.652180728395557e-12,6.8591322557583526e-12,7.627702722917684e-12,7.031530913081951e-11
boost,float64,0.4455,0.4790718773329895,,48,9.137114439899948e-13,7.947219628524183e-14,2.5724939883590448e-12,5.5125976324755e-12,5.231841002095727e-12,2.4149571231646405e-11
boost,float64,0.47025,0.5103912680958285,,48,1.214770923743412e-12,9.334736341459013e-14,3.6378314461363566e-12,8.216516939363445e-12,8.426604032607532e-12,8.847678145684768e-11
boost,float64,0.495,0.5426615282747135,,48,1.2995214799607269e-12,8.024252328439492e-14,3.732748148096305e-12,7.632783271221625e-12,8.603052298328251e-12,7.780265320889157e-11
boost,float64,0.5197499999999999,0.5759971624900828,,48,1.210281692164498e-12,1.2283968220525495e-13,2.6713293044949597e-12,1.1971641579408915e-11,9.060688686603665e-12,1.2453504893983336e-10
boost,float64,0.5445,0.6105298978293117,,48,1.5241126239801943e-12,1.079538560390516e-13,3.4606544109722046e-12,1.9511043385215637e-11,1.0822972726365343e-11,9.152101299036985e-11
boost,float64,0.5692499999999999,0.6464126008948009,,48,1.3269459941619774e-12,1.2470674424903686e-13,5.384620463697352e-12,8.603186483570471e-12,1.043010411834929e-11,9.422684854598629e-11
boost,float64,0.594,0.6838243498742138,,48,1.333614702961449e-12,1.1647256475064619e-13,3.0820424781462985e-12,8.843351970174476e-12,9.90542543821693e-12,9.906564457651257e-11
boost,float64,0.61875,0.7229770987631133,,48,1.3846612929164942e-12,1.3714082940012212e-13,3.672725867882858e-12,8.55570356680535e-12,1.1116399612163633e-11,6.789946382923517e-11
boost,float64,0.6435,0.7641245766249617,,48,1.539959438236169e-12,1.0144987507680317e-13,4.32976007499377e-12,1.35596725966317e-11,1.1111763129993216e-11,6.301092980720568e-11
boost,float64,0.66825,0.8075743892856996,,48,1.7354160865836198e-12,9.926607513727931e-14,3.478027111261188e-12,2.4457544997703378e-11,1.498563642968187e-11,1.865938514811205e-10
boost,float64,0.693,0.853704817272969,,48,2.228047915506822e-12,9.560013945149553e-14,7.235251744135847e-12,1.620314618414009e-11,1.6656472353003087e-11,1.1368861407845543e-10
boost,float64,0.71775,0.902988685440707,,48,1.85777272067927e-12,1.2025281302887386e-13,4.2877075769268546e-12,1.5541604055828252e-11,1.3613754799394565e-11,9.623901675581692e-11
boost,float64,0.7424999999999999,0.9560282112654439,,48,2.6532254662611795e-12,1.3853013133070483e-13,4.600590987892034e-12,3.322604241859779e-11,2.6480833729506752e-11,5.102140931967369e-10
boost,float64,0.76725,1.0136075144469434,,48,2.037092498083244e-12,1.6162110200746031e-13,6.269308269542773e-12,1.124258795862137e-11,2.3945423768823026e-11,3.084039690293139e-10
boost,float64,0.792,1.076774756916779,,48,2.828292203758102e-12,1.0494462643301057e-13,1.0329754336065123e-11,2.0193107807663374e-11,2.6109305111451004e-11,3.2656188864166324e-10
boost,float64,0.81675,1.146976564364992,,48,2.805676658611318e-12,1.8729317175187014e-13,8.82130396827706e-12,3.1659444370691536e-11,3.1679566811262015e-11,3.4924596548080444e-10
boost,float64,0.8415,1.2262905712838925,,48,2.9993115947059494e-12,1.4247538941553096e-13,6.224570676423115e-12,2.5612861832209076e-11,3.142007256225673e-11,2.1737012190214955e-10
boost,float64,0.86625,1.317856981538642,,48,3.110649961952433e-12,2.365695775759565e-13,7.82530614597607e-12,2.2298583809155988e-11,4.3679198279134024e-11,3.97317734268654e-10
boost,float64,0.891,1.426756593214657,,48,5.441051793312917e-12,1.6202119255794252e-13,1.7226353440598364e-11,3.9824485156788636e-11,7.691283027133622e-11,5.083542475858849e-10
boost,float64,0.91575,1.562037950309021,,48,5.4675832543642056e-12,1.7268359975635725e-13,1.2846489832566728e-11,5.5814983826580196e-11,9.8552438200968e-11,1.5680043929933163e-09
boost,float64,0.9405,1.7423623191286886,,48,1.0678077095689842e-11,2.1453006808724315e-13,2.8326826063798816e-11,1.3458129470335227e-10,2.1672630812381855e-10,4.526960140083247e-09
boost,float64,0.9652499999999999,2.0175975853315316,,48,1.760389013254877e-11,2.533246881345192e-13,3.773289167285501e-11,1.6366649788930826e-10,3.6731112653768755e-10,2.800334186758846e-09
boost,float64,0.99,2.6466524123622457,,48,6.520938207066442e-11,1.7441561133643925e-12,1.3959267392697656e-10,8.763497963458734e-10,2.9350620203936564e-09,3.049017749390259e-08
rotation,float64,,,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0
rotation,float64,,,0.07853981633974483,48,4.22221260724736e-13,3.8490973663528985e-14,9.72166119166717e-13,4.958229746843525e-12,2.6882882494157676e-12,2.3092638912203256e-11
rotation,float64,,,0.15707963267948966,48,4.701414602050558e-13,4.6265346983699275e-14,1.4293870453272276e-12,4.281141233981976e-12,2.4851382525910757e-12,1.4949819160392508e-11
rotation,float64,,,0.23561944901923448,48,5.77223346199648e-13,3.914136305324782e-14,1.5446193719216574e-12,6.999958327105734e-12,3.286779413450939e-12,3.347899735217652e-11
rotation,float64,,,0.3141592653589793,48,7.290029722463916e-13,3.1708069967426285e-14,1.858232214084554e-12,7.768311265415112e-12,4.8724294275196795e-12,4.238920325860818e-11
rotation,float64,,,0.39269908169872414,48,5.438896168647939e-13,3.2936884557480065e-14,1.3877693197825856e-12,6.0098017972290765e-12,3.2107008024473416e-12,3.004885229529464e-11
rotation,float64,,,0.47123889803846897,48,4.038300302229345e-13,4.1155296742714504e-14,9.77497837877398e-13,4.437264777011135e-12,2.5291643779290496e-12,2.7540636438061483e-11
rotation,float64,,,0.5497787143782138,48,5.883218823107392e-13,4.114880026009577e-14,1.1095481453153438e-12,8.182533162247396e-12,3.658785080462579e-12,5.5564441936439835e-11
rotation,float64,,,0.6283185307179586,48,5.1761702180398e-13,4.441608332319579e-14,8.411197460027003e-13,5.1279641636776934e-12,3.378253695303831e-12,4.948219611833338e-11
rotation,float64,,,0.7068583470577035,48,3.207929185173611e-13,3.263821806871448e-14,8.354841322782966e-13,2.4009213482624637e-12,1.9130114159437994e-12,2.084732386720134e-11
rotation,float64,,,0.7853981633974483,48,3.541741210456021e-13,3.610451474521321e-14,8.69599790196119e-13,2.8210213657398888e-12,3.2351453691884893e-12,4.020250798930647e-11
rotation,float64,,,0.8639379797371931,48,4.4092788488129846e-13,3.9653048409513575e-14,9.230966448802693e-13,4.324488873620287e-12,3.5827770148803375e-12,6.752998160663992e-11
rotation,float64,,,0.9424777960769379,48,4.01205995072845e-13,3.257536736759812e-14,1.0670541763248295e-12,3.5642729950238077e-12,3.4147239434216084e-12,7.040057425911073e-11
rotation,float64,,,1.0210176124166828,48,4.584250309563337e-13,3.248364997368315e-14,1.0196517223670696e-12,5.065062373966295e-12,3.4514914074949368e-12,3.178968199790688e-11
rotation,float64,,,1.0995574287564276,48,5.888874212427623e-13,4.9602434977384836e-14,1.9194672223594756e-12,4.995686693493727e-12,3.336590263340137e-12,3.3569591550985933e-11
rotation,float64,,,1.1780972450961724,48,5.951247851548689e-13,4.31182277106354e-14,1.8454338871134465e-12,4.186580454365485e-12,4.335399516238366e-12,4.160938260611147e-11
rotation,float64,,,1.2566370614359172,48,5.826743152352063e-13,3.1131306023995975e-14,1.630497729027245e-12,8.173955808419598e-12,3.469135858210256e-12,5.0251358629793685e-11
rotation,float64,,,1.335176877775662,48,6.404892022066042e-13,3.889018034627968e-14,1.2828259848619367e-12,6.290567308888587e-12,3.359135886116249e-12,3.6132874470240495e-11
