transform,dtype,beta,rapidity,angle,num_samples,relative_l2_mean,relative_l2_p10,relative_l2_p90,relative_l2_max,max_absolute_mean,max_absolute_max
rotation,float32,,,5.026548245743669,48,0.0004943216190980995,1.8350674702782568e-05,0.0011766897357387723,0.005705176818430293,0.002688102311742914,0.032827128932948924
rotation,float32,,,5.183627878423159,48,0.0003537693425366251,2.3624779877093368e-05,0.000675226795037136,0.0037321958092950396,0.0023435759154981604,0.04240597295599713
rotation,float32,,,5.340707511102648,48,0.0005828383423750121,3.328847843821755e-05,0.001071016539226216,0.007346654912391643,0.00353367241102762,0.052066818238809986
rotation,float32,,,5.497787143782138,48,0.00036677055676323945,2.229128647510027e-05,0.0005730255072868742,0.0051626166916522095,0.0021854592048313223,0.04113088095779638
rotation,float32,,,5.654866776461628,48,0.0003513702161724711,2.4818928157145842e-05,0.0006929112060419151,0.003929459006791564,0.0026011168028236484,0.039896321440670235
rotation,float32,,,5.811946409141117,48,0.0005388798402202178,3.2813103824464236e-05,0.0005572026838526553,0.012365959405751208,0.0024759349359646274,0.03540026898876292
rotation,float32,,,5.969026041820607,48,0.0011530873359003008,2.4764024868647135e-05,0.0005627878733674183,0.039663996553871685,0.0037380873252180185,0.06510181871339427
rotation,float32,,,6.126105674500097,48,0.0005877709007076049,3.153991388598022e-05,0.0007360547022045742,0.011597750877684403,0.004159665391590792,0.13277247107441603
rotation,float32,,,6.283185307179586,48,7.862563660017723e-13,1.2219386383165736e-14,1.1367177611217688e-12,2.2208299424711453e-11,2.9410097042899728e-12,4.191136326880951e-11
rotation_fixed_axis,float32,,,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0
rotation_fixed_axis,float32,,,0.15707963267948966,48,8.109304895787245,0.6638167341018631,17.251946745671965,81.89056846431279,35.1112994653603,329.9239103112672
rotation_fixed_axis,float32,,,0.3141592653589793,48,18.8510158469942,1.3183439975179145,56.480962779278514,115.47406298879721,50.71171060502612,345.3855943529927
rotation_fixed_axis,float32,,,0.47123889803846897,48,29.200702110250518,2.369793343114439,79.52482786935774,425.6936283540384,78.87845400968554,1362.3244302351711
rotation_fixed_axis,float32,,,0.6283185307179586,48,75.90319348345916,2.466723278208287,106.86139000136448,1046.9941614854727,222.00997858618584,2820.5567720325666
rotation_fixed_axis,float32,,,0.7853981633974483,48,107.54349889949107,2.9383554953164315,208.52783205932897,1298.090805160113,337.2518100594185,3560.3445378600054
rotation_fixed_axis,float32,,,0.9424777960769379,48,149.56501501848504,3.291036212621512,485.345918356377,1340.5865569599111,478.77826380552597,4718.662125532736
rotation_fixed_axis,float32,,,1.0995574287564276,48,187.2415989496903,5.8468619678580795,569.7127869833398,1621.2366358598056,531.4214296177023,5223.40045156665
rotation_fixed_axis,float32,,,1.2566370614359172,48,290.09730960481573,6.499987852277408,731.7706207500106,3065.0404513732046,712.9751420685258,8368.338667071986
rotation_fixed_axis,float32,,,1.413716694115407,48,388.77963783241785,6.896384363501921,930.5343086209956,3812.390089340258,938.5221756734222,10872.216273599342
